f (GHz);d (m);Ω (°);Ω (rad);l (m);2l (m);2l(cm)
2000000000;0.224721147;84.14;1.468520033;0.188424434;0.376848867;37.68488673
2500000000;0.280901434;72.67;1.268330767;0.212037869;0.424075738;42.40757383
3000000000;0.337081721;62.71;1.094495974;0.230198142;0.460396285;46.03962847
3500000000;0.393262008;58.13;1.014559894;0.255533914;0.511067828;51.10678284
4000000000;0.449442295;49.62;0.866032375;0.264100434;0.528200868;52.82008683
4500000000;0.505622582;41.42;0.722915376;0.266080795;0.532161589;53.21615893
5000000000;0.561802869;40.77;0.711570736;0.292859313;0.585718627;58.57186269
5500000000;0.617983155;35.52;0.61994095;0.296965203;0.593930407;59.39304067
6000000000;0.674163442;37.63;0.656767398;0.335110203;0.670220406;67.0220406
6500000000;0.730343729;36.13;0.630587459;0.354468249;0.708936499;70.89364989
7000000000;0.786524016;34.59;0.603709388;0.372161628;0.744323255;74.43232552
7500000000;0.842704303;33.95;0.592539281;0.394447112;0.788894224;78.88942238
8000000000;0.89888459;31.21;0.54471726;0.400844229;0.801688459;80.16884588
8500000000;0.955064877;28.4;0.495673508;0.403650053;0.807300107;80.73001067
9000000000;1.011245163;27.04;0.47193703;0.415740009;0.831480019;83.14800186
9500000000;1.06742545;29.14;0.508588944;0.457754988;0.915509977;91.55099769
10000000000;1.123605737;43.44;0.758171027;0.608493548;1.216987097;121.6987097
10500000000;1.179786024;39.56;0.690452252;0.604059312;1.208118623;120.8118623
11000000000;1.235966311;43.32;0.756076632;0.668223725;1.336447451;133.6447451
11500000000;1.292146598;40.95;0.714712329;0.675353056;1.350706112;135.0706112
12000000000;1.348326885;40.05;0.699004365;0.695429051;1.390858101;139.0858101
12500000000;1.404507171;40.9;0.713839664;0.733543167;1.467086334;146.7086334
13000000000;1.460687458;41.1;0.717330323;0.765114789;1.530229577;153.0229577
13500000000;1.516867745;40.51;0.70703288;0.787704096;1.575408191;157.5408191
14000000000;1.573048032;37.8;0.659734457;0.784003868;1.568007735;156.8007735
14500000000;1.629228319;38.87;0.67840948;0.825511915;1.651023829;165.1023829
15000000000;1.685408606;37.17;0.648738883;0.831732934;1.663465867;166.3465867
15500000000;1.741588893;32.59;0.568802803;0.796166334;1.592332668;159.2332668
16000000000;1.797769179;28.45;0.496546172;0.760567611;1.521135221;152.1135221
16500000000;1.853949466;25.48;0.444709893;0.737255285;1.474510569;147.4510569
17000000000;1.910129753;24.64;0.430049128;0.745550065;1.49110013;149.110013
17500000000;1.96631004;21.51;0.375420322;0.712043384;1.424086768;142.4086768
18000000000;2.022490327;19.44;0.339292007;0.693048479;1.386096958;138.6096958
