f;d;;;L;2L (M);2L(CM)
22000000000;0.212143742;35.12;0.612959633;0.10127255;0.202545099;20.25450993
22500000000;0.216965191;33.2;0.579449312;0.100251805;0.200503609;20.05036094
23000000000;0.221786639;31.41;0.548207918;0.09926482;0.198529641;19.8529641
23500000000;0.226608088;30.3;0.528834763;0.099359154;0.198718309;19.87183086
24000000000;0.231429537;28.78;0.502305759;0.098549806;0.197099613;19.70996128
24500000000;0.236250985;30.14;0.526042237;0.103275208;0.206550417;20.65504167
25000000000;0.241072434;30.89;0.539132206;0.106870958;0.213741917;21.3741917
25500000000;0.245893883;31.04;0.5417502;0.109310654;0.218621308;21.86213076
26000000000;0.250715331;28.84;0.503352956;0.106888244;0.213776489;21.37764888
26500000000;0.25553678;27.95;0.487819526;0.107030998;0.214061996;21.40619965
27000000000;0.260358229;27.22;0.475078622;0.107437482;0.214874964;21.48749643
27500000000;0.265179677;26.34;0.459719725;0.107427954;0.214855907;21.48559075
28000000000;0.270001126;26.08;0.455181869;0.108775638;0.217551276;21.75512762
28500000000;0.274822575;25.67;0.448026019;0.109742021;0.219484043;21.94840426
29000000000;0.279644023;25.75;0.449422282;0.111861512;0.223723025;22.37230248
29500000000;0.284465472;25.72;0.448898684;0.113716105;0.22743221;22.74322101
30000000000;0.289286921;25.46;0.444360828;0.114989604;0.229979207;22.99792074
30500000000;0.294108369;24.51;0.4277802;0.114457671;0.228915342;22.89153419
31000000000;0.298929818;23.86;0.41643556;0.114612651;0.229225301;22.92253011
31500000000;0.303751267;22.61;0.394618944;0.113050902;0.226101803;22.61018033
32000000000;0.308572715;22.02;0.384321501;0.113187031;0.226374062;22.63740615
32500000000;0.313394164;22.46;0.39200095;0.116213102;0.232426204;23.24262038
33000000000;0.318215613;22.48;0.392350016;0.118058825;0.23611765;23.61176504
